,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,プロジェクト期,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時,プロジェクトコスト_実績,プロジェクトコスト_被援助国負担額,プロジェクトコスト_計画時_int,プロジェクトコスト_実績_int,プロジェクトコスト_被援助国負担額_int,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,妥当性評価,整合性評価,有効性評価,インパクト評価,効率性評価,効率性_コスト,効率性_期間,持続性評価,適応・貢献評価,付加価値・創造価値評価,総合評価,備考,file,事業形態,分野,案件名,left_4,連番
2638,2638,2638.0,1.0,2,ホンジュラス,2013,株式会社グローバル・グループ21ジャパン,薗田元,1349.3百万円,1348.5百万円,計画:7.3百万円、実績:36.5百万円,1349300000,1348500000,計画:7300000、実績:36500000,2008年2月,,2008年2月,2010年7月,,30,高い,,中程度,中程度,中程度,101%,99%,高い,,,高い,"被援助国負担額は、1期と2期の日本側負担額の比率に基づき按分して算出。総合的なプロジェクトコストの計画は1,827百万円、実績は1,847百万円。総合的なプロジェクト期間の計画は38.5ヶ月、実績は38ヶ月。",https://www2.jica.go.jp/ja/evaluation/pdf/2013_0801800_4_f.pdf,無償,上水道,テグシガルパ緊急給水計画,テグシガ,1
793,793,793.0,793.0,1,ホンジュラス,2014,ホンジュラス事務所,,250百万円,332百万円,,250000000,332000000,,2003年11月,2006年10月,2003年11月,2008年10月,36,60,高い,,低い,低い,低い,133%,167%,中程度,,,低い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603090_4_f.pdf,技協,行政一般,地方女性のための小規模起業支援プロジェクト,地方女性,1
791,791,791.0,791.0,1,ホンジュラス,2014,Value Frontier 株式会社,西野宏,382百万円,282百万円,780千ドル(約91.8百万円),382000000,282000000,91800000,2003年9月2日,2007年9月1日,2003年9月2日,2007年9月1日,48,48,高い,,高い,高い,中程度,127%,175%,中程度,,,高い,評価値および効率性の計画比は、フェーズ1と2を合算した全体評価の値です。,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603095_4_f.pdf,技協,保健・医療,シャーガス病対策プロジェクト,シャーガ,4
792,792,792.0,792.0,2,ホンジュラス,2014,Value Frontier 株式会社,西野宏,190百万円,204百万円,"8,557千レンピーラ(約36.1百万円)",190000000,204000000,36100000,2008年3月,2011年2月,2008年3月15日,2011年3月14日,36,36,高い,,高い,高い,中程度,127%,175%,中程度,,,高い,評価値および効率性の計画比は、フェーズ1と2を合算した全体評価の値です。,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603095_4_f.pdf,技協,保健・医療,シャーガス病対策プロジェクト,シャーガ,3
786,786,786.0,786.0,1,ホンジュラス,2014,Value Frontier 株式会社,西野宏,382百万円,282百万円,合計 780 千ドル,382000000,282000000,117000000,2003年9月2日,2007年9月1日,2003年9月2日,2007年9月1日,48,48,高い,高い,高い,高い,中程度,127%,175%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0701409_4_f.pdf,技協,保健・医療,シャーガス病対策プロジェクト フェーズ2,シャーガ,2
787,787,787.0,787.0,2,ホンジュラス,2014,Value Frontier 株式会社,西野宏,190百万円,204百万円,"合計 8,557 千レンピーラ (約 36.1 百万円)",190000000,204000000,36100000,2008年3月,2011年2月,2008年3月15日,2011年3月14日,36,36,高い,高い,高い,高い,中程度,127%,175%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0701409_4_f.pdf,技協,保健・医療,シャーガス病対策プロジェクト フェーズ2,シャーガ,1
785,785,785.0,785.0,1,ホンジュラス,2015,ホンジュラス事務所,,380百万円,382百万円,,380000000,382000000,,2008年6月,2012年5月,2008年6月,2012年5月,48,48,高い,,高い,高い,中程度,101%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0701416_4_f.pdf,技協,人口・家族計画,オランチョ県思春期リプロダクティブヘルス強化プロジェクト,オランチ,1
2634,2634,2634.0,0.0,1,ホンジュラス,2016,株式会社グローバル・グループ 21 ジャパン,薗田元,1101百万円,1039百万円,5百万円,1101000000,1039000000,5000000,2011年2月,2013年8月,2011年2月,2013年10月,32,33,高い,,高い,高い,中程度,95%,103%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_1160380_4_f.pdf,無償,公益事業一般,首都圏地滑り防止計画,首都圏地,1
2631,2631,2631.0,0.0,1,ホンジュラス,2017,ホンジュラス事務所,,561百万円,559百万円,,561000000,559000000,,2013年10月23日,2015年9月,2013年10月23日,2015年2月26日,23,16,高い,高い,高い,高い,高い,100%,71%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1260880_4_f.pdf,無償,道路,デモクラシア橋補修計画,デモクラ,1
790,790,790.0,790.0,1,ホンジュラス,2019,株式会社グローバル・グループ 21 ジャパン,薗田元,180百万円,242百万円,24百万円,180000000,242000000,24000000,2006年9月,2009年3月,2006年9月,2010年10月,30,49,高い,,高い,高い,低い,135%,163%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0603085_4_f.pdf,技協,行政一般,西部地域・開発能力強化プロジェクト,西部地域,1
784,784,784.0,784.0,1,ホンジュラス,2019,株式会社グローバル・グループ 21 ジャパン,薗田元,330百万円,379百万円,金額不明,330000000,379000000,,2011年10月,2016年11月,2011年10月,2016年11月,62,62,高い,,高い,高い,中程度,115%,100%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1100333_4_f.pdf,技協,行政一般,地方開発のための自治体能力強化プロジェクト,地方開発,1
2633,2633,2633.0,0.0,1,ホンジュラス,2019,ホンジュラス事務所,,952百万円,952百万円,,952000000,952000000,,2013年3月18日,,2013年3月18日,2015年12月15日,23,33,中程度,,低い,低い,中程度,100%,142%,中程度,,,低い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1260860_4_f.pdf,無償,電力,テグシガルパ市内給水施設小水力発電導入計画,テグシガ,1
2632,2632,2632.0,0.0,1,ホンジュラス,2022,ホンジュラス事務所,,624百万円,517百万円,,624000000,517000000,,2014年4月21日,2016年1月,2014年4月21日,2019年10月18日,23,62,高い,高い,高い,高い,やや低い,83%,270%,やや低い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2022_1360760_4_f.pdf,無償,保健・医療,レンピラ県及びエルパライソ県母子保健医療サービス整備計画,レンピラ,1
783,783,783.0,783.0,1,ホンジュラス,2023,OPMAC 株式会社,三島光恵,507百万円,511百万円,988.6万レンピーラ,507000000,511000000,,2015年1月,2020年1月,2015年2月,2020年4月,61,63,高い,やや低い,やや低い,やや低い,高い,101%,103%,高い,ACTIVOモデルの構築に際し統計分析を活用したことは、本事業にて実施した研修や支援の有効性を客観的に検証してプロジェクト関係者に示したことは説得力が高いものであり、また、検証結果を内容改善につなげたという点において有用なものであった。,本事業は最貧層へのフォーカス、民間を含めたマルチステークホルダーとの協働という視点で大きな成果を上げたことが示された。貧困の要因は、教育水準の低さ、生活手段の制約、公的機関や民間のあらゆる金融サービスアクセスへの制約等、多面的且つ複合的な要素が含まれている。本事業は、対象国の多様なアクター（中央政府機関、市政府、市政府連合、社会統合副省から業務委託された各地のコーディネーター、民間銀行や信用組合等の金融機関、NGO 等）を巻き込んで実施したことで、様々なインパクトの発現につながった。,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1300188_4_f.pdf,技協,その他,金融包摂を通じたCCT受給世帯の生活改善・生計向上プロジェクト,金融包摂,1
2630,2630,2630.0,0.0,1,ホンジュラス,2023,(株)グローバル・グループ 21 ジャパン,木田暁子,"1,744百万円","1,656百万円",11百万円,1744000000,1656000000,11000000,2017年5月,2020年3月,2017年6月,2021年3月,35,34,高い,高い,やや低い,やや低い,非常に高い,95%,97%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1760140_4_f.pdf,無償,上水道,コマヤグア市給水システム改善・拡張計画,コマヤグ,1
3064,0,,,1,ボスニア・ヘルツェゴビナ,2010,オクタヴィアジャパン株式会社,稲澤健一,"1,345百万円","1,302百万円",343百万円,1345000000,1302000000,343000000,2004年5月,2006年12月,2004年5月,2006年12月,32,32,高い,,高い,,中程度,103%,100%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0402400_4_f.pdf,無償,運輸交通一般,ドボイ橋及びモドリッチャ橋建設計画,ドボイ橋,1
3065,0,,,1,ボスニア・ヘルツェゴビナ,2010,オクタヴィアジャパン株式会社,稲澤健一,"1,299百万円",約794百万円,約30百万円,1299000000,794000000,30000000,2004年11月,2006年12月,2004年11月,2006年12月,26,26,高い,,高い,,高い,,100%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0412700_4_f.pdf,無償,保健・医療,第3次一次医療施設医療機材整備計画,第3次一,1
3063,0,,,1,ボスニア・ヘルツェゴビナ,2011,バルカン事務所,,844百万円,843百万円,,844000000,843000000,,2007年9月,2008年10月,2007年9月,2009年1月,14,17,高い,,中程度,中程度,中程度,100%,119%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0706600_4_f.pdf,無償,道路,道路維持管理用機材整備計画,道路維持,1
1244,1244,1244.0,1244.0,1,ボスニア・ヘルツェゴビナ,2012,株式会社アースアンドヒューマンコーポレーション,十津川淳,約 340 百万円,約 412 百万円,,340000000,412000000,,2007年1月,2009年12月,2007年1月,2009年12月,36,36,高い,,中程度,中程度,中程度,,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0605635_4_f.pdf,技協,観光一般,エコツーリズムを中心とする持続可能な地域振興プロジェクト,エコツー,1
1242,1242,1242.0,1242.0,1,ボスニア・ヘルツェゴビナ,2018,バルカン事務所,,300百万円,200百万円,,300000000,200000000,,,,2012年7月,2015年11月,,41,高い,,高い,高い,中程度,67%,114%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1000791_4_f.pdf,技協,観光一般,ヘルツェゴビナ国際観光コリドー・環境保全プロジェクト,ヘルツェ,1
1243,1243,1243.0,1243.0,1,ボスニア・ヘルツェゴビナ,2019,バルカン事務所,,327百万円,433百万円,,327000000,433000000,,2008年9月,2011年8月,2008年9月,2013年11月,36,63,高い,,高い,高い,中程度,132%,175%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0704336_4_f.pdf,技協,農業一般,スレブレニツァ地域における信頼醸成のための農業・農村開発プロジェクト,スレブレ,1
1241,1241,1241.0,1241.0,1,ボスニア・ヘルツェゴビナ,2019,バルカン事務所,,383百万円,414百万円,,383000000,414000000,,2014年1月,2017年3月,2014年1月,2017年3月,39,39,高い,,高い,高い,中程度,108%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1300259_4_f.pdf,技協,行政一般,地方開発を通じた信頼醸成プロジェクト,地方開発,1
1072,1072,1072.0,1072.0,1,ボツワナ,2021,OPMAC 株式会社,宮崎慶司,300百万円,296百万円,約132百万円,300000000,296000000,132000000,2012年3月,2017年3月,2012年4月,2017年4月,60,60,高い,,中程度,中程度,高い,98%,100%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1100476_4_f.pdf,技協,農業一般,ボツワナ乾燥冷害地域におけるヤトロファ・バイオエネルギー生産のシステム開発,ボツワナ,1
1071,1071,1071.0,1071.0,1,ボツワナ,2022,ボツワナ支所,,211百万円,250百万円,,211000000,250000000,,2014年9月,2016年8月,2014年9月,2016年8月,24,24,高い,,中程度,中程度,中程度,118%,100%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2022_1302237_4_f.pdf,技協,放送,地上デジタル放送日本方式実施プロジェクト,地上デジ,1
2629,2629,2629.0,0.0,1,ボリビア,2010,ボリビア事務所,,351百万円,338百万円,,351000000,338000000,,2005年7月,2007年6月,2005年7月,2007年3月,24,21,高い,,高い,高い,高い,96%,88%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0501400_4_f.pdf,無償,運輸交通一般,日本・ボリビア友好橋改修計画,日本・ボ,1
2628,2628,2628.0,0.0,1,ボリビア,2010,ボリビア事務所,,683百万円,683百万円,,683000000,683000000,,2005年7月,2006年7月,2005年7月,2006年12月,13,18,高い,,中程度,中程度,中程度,100%,138%,中程度,,,一部課題がある,ボリビア側の資金不足により、灌漑水路改修は目標未達となっている。,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0507800_4_f.pdf,無償,農業機械,ラパス県村落開発機材整備計画,ラパス県,1
2627,2627,2627.0,0.0,1,ボリビア,2010,ボリビア事務所,,847百万円,847百万円,,847000000,847000000,,2005年8月,2007年2月,2005年8月,2007年7月,18,24,高い,,高い,高い,中程度,100%,133%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0510600_4_f.pdf,無償,保健・医療,ベニ県南部医療保健施設改善計画,ベニ県南,1
2626,2626,2626.0,0.0,1,ボリビア,2010,ボリビア事務所,,900百万円,794百万円,税関関連費用（通関手続き費用、倉庫保管費用など）、国内輸送費,900000000,794000000,,2007年1月,2008年2月,2007年1月,2008年2月,14,14,高い,,高い,高い,高い,88%,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0613800_4_f.pdf,無償,運輸交通一般,地方道路拡充機材整備計画,地方道路,1
782,782,782.0,782.0,1,ボリビア,2011,ボリビア事務所,,,647百万円,120百万円,,647000000,120000000,2001年11月,2006年10月,2001年11月,2006年10月,60,60,高い,,中程度,中程度,中程度,,,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0603356_4_f.pdf,技協,保健・医療,サンタクルス県地域保健ネットワーク強化プロジェクト,サンタク,1
779,779,779.0,779.0,1,ボリビア,2011,合同会社適材適所,五味剛史,3.5億円,2億8300万円,377万円,350000000,283000000,3770000,2004年12月,2008年12月,2004年12月,2008年2月,49,39,高い,,高い,高い,高い,81%,100%,低い,,,高い,効率性評価において、協力期間は計画通りであったと記載があるものの、3ページの協力の概要の表では実績期間が2008年2月までとなっているため、そちらを優先しました。,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0603372_4_f.pdf,技協,畜産,小規模畜産農家のための技術普及改善計画プロジェクト,小規模畜,1
2625,2625,2625.0,0.0,1,ボリビア,2011,ボリビア事務所,,761百万円,761百万円,,761000000,761000000,,2006年8月,,2006年8月,2008年3月,,20,高い,,中程度,中程度,中程度,100%,114%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0609900_4_f.pdf,無償,保健・医療,医薬品供給センター整備計画,医薬品供,1
778,778,778.0,778.0,2,ボリビア,2012,株式会社コーエイ総合研究所,池野雅文,4億600万円,4億5683万円,,406000000,456830000,,2005年4月,2010年3月,2005年4月,2010年3月,60,60,高い,,高い,高い,中程度,113%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0603346_4_f.pdf,技協,農業一般,農牧技術センタープロジェクトフェーズ2,農牧技術,1
781,781,781.0,781.0,1,ボリビア,2012,株式会社コーエイ総合研究所,飯村文,"5億2,000万円","9億9,000万円","約8,400万円",520000000,990000000,84000000,2002年7月,2007年6月,2002年7月,2009年6月,60,84,中程度,,低い,低い,低い,190%,140%,中程度,,,低い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0603355_4_f.pdf,技協,鉱業,鉱山環境研究センタープロジェクト,鉱山環境,1
2623,2623,2623.0,0.0,1,ボリビア,2012,ボリビア事務所,,310百万円,289百万円,,310000000,289000000,,2006年8月,,2006年8月,2008年3月,,19,高い,,中程度,中程度,高い,96%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0706400_4_f.pdf,無償,農業土木,コチャバンバ県灌漑施設改修計画,コチャバ,2
2624,2624,2624.0,1.0,2,ボリビア,2012,ボリビア事務所,,374百万円,365百万円,,374000000,365000000,,2007年6月,,2007年6月,2009年2月,,20,高い,,中程度,中程度,高い,96%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0706400_4_f.pdf,無償,農業土木,コチャバンバ県灌漑施設改修計画,コチャバ,1
776,776,776.0,776.0,1,ボリビア,2014,株式会社グローバル・グループ21ジャパン,吉田健,約 300 百万円,519百万円,"1,453千ドル",300000000,519000000,217950000,2009年3月,2012年3月,2009年3月,2012年9月,36,42,高い,,高い,高い,低い,173%,117%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0700538_4_f.pdf,技協,道路,道路防災及び橋梁維持管理キャパシティ・ディベロップメントプロジェクト,道路防災,1
2622,2622,2622.0,0.0,1,ボリビア,2014,ボリビア事務所,,969百万円,969百万円,,969000000,969000000,,2008年3月10日,,2008年3月10日,2010年8月17日,,29,高い,,高い,高い,中程度,100%,116%,中程度,,,高い,効率性評価において、「事業費が計画を上回った（計画比：116％）」と記載があるが、本文の前後関係（雨季によるアクセス悪化など）から事業期間が計画を上回ったと解釈し、効率性_期間に116%を記載。事業費は計画時と実績が同額のため、効率性_コストは100%とした。,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0715600_4_f.pdf,無償,教育,ポトシ市及びスクレ市教育施設建設計画,ポトシ市,1
2621,2621,2621.0,0.0,1,ボリビア,2014,ボリビア事務所,,398百万円,367百万円,,398000000,367000000,,2009年2月5日,,2009年2月5日,2010年8月31日,,,高い,,中程度,中程度,中程度,92%,106%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0868310_4_f.pdf,無償,文化,国立マン・セスペ音楽アカデミー校舎建設計画,国立マン,1
2619,2619,2619.0,0.0,1,ボリビア,2014,株式会社グローバル・グループ21ジャパン,薗田元,"1,224百万円","1,104百万円",12百万円,1224000000,1104000000,12000000,2009年5月,2011年2月,2009年5月,2011年8月,22,28,中程度,,低い,低い,中程度,95%,127%,高い,,,低い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0960170_4_f.pdf,無償,上水道,コチャバンバ市南東部上水道施設改善計画,コチャバ,1
2620,2620,2620.0,0.0,1,ボリビア,2014,株式会社グローバル・グループ21ジャパン,薗田元,"1,343百万円","1,249百万円",2百万円,1343000000,1249000000,2000000,2009年10月,2012年1月,2009年10月,2011年11月,28,26,高い,,高い,高い,高い,93%,93%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0960540_4_f.pdf,無償,上水道,ポトシ市リオ・サンファン系上水道施設整備計画,ポトシ市,1
780,780,780.0,780.0,1,ボリビア,2015,ボリビア事務所,,260百万円,715百万円,,260000000,715000000,,2003年7月,2010年7月,2003年7月,2010年7月,84,84,高い,,中程度,中程度,高い,100%,100%,低い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0603366_4_f.pdf,技協,教育,学校教育の質向上プロジェクト,学校教育,1
775,775,775.0,775.0,2,ボリビア,2015,ボリビア事務所,,290百万円,256百万円,133百万ボリビアーノ,290000000,256000000,,2008年6月,2011年12月,2008年6月,2011年12月,43,43,高い,,高い,高い,高い,88%,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0800574_4_f.pdf,技協,上水道,生命の水プロジェクト フェーズ2,生命の水,1
777,777,777.0,777.0,1,ボリビア,2016,ボリビア事務所,,137百万円,209百万円,パイロット灌漑施設建設費用、ドライバー人件費、プロジェクト事務所費用、研修費用,137000000,209000000,,2008年1月,2010年12月,2008年1月,2011年6月,36,42,高い,,中程度,中程度,低い,152%,117%,高い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0700536_4_f.pdf,技協,農業一般,高地高原中部地域開発計画プロジェクト,高地高原,1
774,774,774.0,774.0,2,ボリビア,2017,株式会社国際開発センター,長谷川祐輔,460百万円,381百万円,7百万ボリビアーノ,460000000,381000000,112000000,2009年5月,2014年5月,2009年5月,2014年5月,60,60,高い,,高い,高い,高い,83%,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0700533_4_f.pdf,技協,農業一般,持続的農村開発のための実施体制整備計画プロジェクトフェーズ2,持続的農,1
771,771,771.0,771.0,1,ボリビア,2017,ボリビア事務所,,260百万円,207百万円,,260000000,207000000,,2010年8月,2014年8月,2010年8月,2014年8月,48,48,高い,,高い,高い,高い,80%,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0700540_4_f.pdf,技協,保健・医療,ラパス県農村部母子保健に焦点をあてた地域保健ネットワーク強化プロジェクト,ラパス県,1
773,773,773.0,773.0,1,ボリビア,2017,株式会社国際開発センター,長谷川祐輔,270百万円,431百万円,,270000000,431000000,,2010年3月,2013年3月,2010年3月,2014年9月,36,54,高い,,中程度,中程度,低い,160%,150%,低い,,,低い,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0900734_4_f.pdf,技協,農業一般,北部ラパス小規模農家の生計向上のための付加価値型農業プロジェクト,北部ラパ,1
772,772,772.0,772.0,1,ボリビア,2018,ボリビア事務所,,350百万円,246百万円,,350000000,246000000,,2010年4月,2015年3月,2010年4月,2015年3月,60,60,高い,,高い,高い,高い,70%,100%,中程度,,,非常に高い,効率性の項目において、「事業期間、事業費ともに計画内に収まった（計画比：それぞれ 70%、100%）」と記載があるが、本文中の協力金額（計画：350百万円、実績：246百万円）及び協力期間（2010年4月～2015年3月）から算出した計画比は、期間100％、コスト70％であるため、本文の記載は誤記の可能性が高いと判断し、算出値を採用した。,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0900727_4_f.pdf,技協,水資源開発,氷河減少に対する水資源管理適応策モデルの開発,氷河減少,1
2617,2617,2617.0,0.0,1,ボリビア,2018,ボリビア事務所,,566百万円,457百万円,,566000000,457000000,,2012年6月18日,2014年8月,2012年6月18日,2015年10月14日,26,40,高い,,高い,高い,中程度,81%,154%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1161060_4_f.pdf,無償,上水道,ベニ県及びパンド県村落地域飲料水供給計画,ベニ県及,1
770,770,770.0,770.0,1,ボリビア,2020,ボリビア事務所,,367百万円,265百万円,,367000000,265000000,,2012年11月,2016年11月,2012年11月,2016年11月,48,48,高い,,中程度,中程度,高い,72%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1100338_4_f.pdf,技協,農業一般,灌漑農業のための人材育成プロジェクト,灌漑農業,1
2618,2618,2618.0,0.0,1,ボリビア,2021,ボリビア事務所,,440百万円,440百万円,,440000000,440000000,,2010年3月19日,2015年2月,2010年3月19日,2017年7月21日,59,88,高い,,中程度,中程度,中程度,100%,211%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_0961330_4_f.pdf,無償,新・再生エネルギー,太陽光を活用したクリーンエネルギー導入計画,太陽光を,1
769,769,769.0,769.0,1,ボリビア,2021,ボリビア事務所,,288百万円,268百万円,,288000000,268000000,,2013年1月,2016年12月,2013年6月,2017年6月,48,49,高い,,中程度,中程度,高い,93%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1200507_4_f.pdf,技協,保健・医療,ポトシ県母子保健ネットワーク強化プロジェクト,ポトシ県,1
766,766,766.0,766.0,1,ボリビア,2021,ボリビア事務所,,305百万円,277百万円,,305000000,277000000,,2016年2月,2017年7月,2016年2月,2017年12月,18,23,高い,,中程度,中程度,中程度,91%,128%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1500355_4_f.pdf,技協,都市交通,サンタクルス都市圏交通マスタープラン策定プロジェクト,サンタク,1
768,768,768.0,768.0,1,ボリビア,2022,ボリビア事務所,,350百万円,378百万円,,350000000,378000000,,2015年10月,2018年9月,2015年10月,2018年10月,36,36,高い,やや低い,やや低い,やや低い,高い,108%,100%,やや低い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2022_201400412_4_f.pdf,技協,総合地域開発計画,ポトシ県南西部基礎インフラ整備促進プロジェクト,ポトシ県,1
767,767,767.0,767.0,1,ボリビア,2023,ボリビア事務所,,316百万円,338百万円,,316000000,338000000,,2015年11月,2019年10月,2016年2月,2020年2月,48,48,高い,高い,やや低い,やや低い,高い,105%,100%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1400401_4_f.pdf,技協,人口・家族計画,オルロ県母子保健ネットワーク強化プロジェクト,オルロ県,1
1240,1240,1240.0,1240.0,1,ポーランド,2011,Value Frontier 株式会社,石森康一郎,"4億4,000万円","6億1,768万円",1.2 百万ドル,440000000,617680000,180000000,2004年7月,2008年6月,2004年7月,2008年6月,48,48,高い,,中程度,中程度,中程度,140%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0605841_4_f.pdf,技協,エネルギー一般,ポーランド・日本省エネルギー技術センタープロジェクト,ポーラン,1
2931,0,,,1,マダガスカル,2012,株式会社アイコンズ,田中誠,"3,127百万円","3,044百万円",2.03億円,3127000000,3044000000,203000000,2003年6月,2007年3月,2003年6月,2006年12月,46,42,高い,,高い,高い,高い,97%,91%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0300900_4_f.pdf,無償,道路,国道7号線バイパス建設計画,国道7号,1
2932,0,,,1,マダガスカル,2012,株式会社アイコンズ,長島聡,347百万円,345百万円,,347000000,345000000,,2001年4月,,2001年4月,2006年2月,,,高い,高い,高い,高い,中程度,106%,166%,低い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0407700_4_f.pdf,無償,上水道,第二次南西部地下水開発計画,第二次南,4
2933,1,,,2,マダガスカル,2012,株式会社アイコンズ,長島聡,474百万円,197百万円,,474000000,197000000,,2001年8月,,2001年8月,2006年2月,,,高い,高い,高い,高い,中程度,106%,166%,低い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0407700_4_f.pdf,無償,上水道,第二次南西部地下水開発計画,第二次南,3
2934,2,,,3,マダガスカル,2012,株式会社アイコンズ,長島聡,475百万円,472百万円,,475000000,472000000,,2003年6月,,2003年6月,2006年2月,,,高い,高い,高い,高い,中程度,106%,166%,低い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0407700_4_f.pdf,無償,上水道,第二次南西部地下水開発計画,第二次南,2
2935,3,,,4,マダガスカル,2012,株式会社アイコンズ,長島聡,651百万円,593百万円,,651000000,593000000,,2004年6月,,2004年6月,2006年2月,,,高い,高い,高い,高い,中程度,106%,166%,低い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0407700_4_f.pdf,無償,上水道,第二次南西部地下水開発計画,第二次南,1
2929,0,,,1,マダガスカル,2012,株式会社アイコンズ,伊藤治夫,8.97億円,8.72億円,,897000000,872000000,,2004年6月28日,,2004年7月20日,2006年3月8日,19,19.6,高い,,高い,高い,中程度,98%,103%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0506900_4_f.pdf,無償,教育,第二次小学校建設計画,第二次小,2
2930,1,,,2,マダガスカル,2012,株式会社アイコンズ,伊藤治夫,9.28億円,9.14億円,,928000000,914000000,,2005年8月1日,,2005年8月3日,2007年3月13日,19,19.3,高い,,高い,高い,中程度,98%,102%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0506900_4_f.pdf,無償,教育,第二次小学校建設計画,第二次小,1
